Orthogroup	Coffea_canephora	Cuscuta_australis	Cuscuta_campestris	Ipomoea_aquatica	Ipomoea_batatas	Ipomoea_nil	Ipomoea_trifida	Ipomoea_triloba	Solanum_lycopersicum	Vitis_vinifera
OG0037926	Cc02_g12970									
OG0037927	Cc02_g13090									
OG0037928	Cc02_g13150									
OG0037929	Cc02_g13160									
OG0037930	Cc02_g13210									
OG0037931	Cc02_g13240									
OG0037932	Cc02_g13350									
OG0037933	Cc02_g13360									
OG0037934	Cc02_g13400									
OG0037935	Cc02_g13430									
OG0037936	Cc02_g13490									
OG0037937	Cc02_g13500									
OG0037938	Cc02_g13690									
OG0037939	Cc02_g13940									
OG0037940	Cc02_g14080									
OG0037941	Cc02_g14110									
OG0037942	Cc02_g14160									
OG0037943	Cc02_g14300									
OG0037944	Cc02_g14370									
OG0037945	Cc02_g14440									
OG0037946	Cc02_g14670									
OG0037947	Cc02_g14720									
OG0037948	Cc02_g14760									
OG0037949	Cc02_g14840									
OG0037950	Cc02_g14980									
OG0037951	Cc02_g15020									
OG0037952	Cc02_g15050									
OG0037953	Cc02_g15070									
OG0037954	Cc02_g15510									
OG0037955	Cc02_g15750									
OG0037956	Cc02_g16140									
OG0037957	Cc02_g16490									
OG0037958	Cc02_g16560									
OG0037959	Cc02_g16930									
OG0037960	Cc02_g17080									
OG0037961	Cc02_g17470									
OG0037962	Cc02_g17500									
OG0037963	Cc02_g17510									
OG0037964	Cc02_g17870									
OG0037965	Cc02_g17950									
OG0037966	Cc02_g18170									
OG0037967	Cc02_g18230									
OG0037968	Cc02_g18310									
OG0037969	Cc02_g18380									
OG0037970	Cc02_g18450									
OG0037971	Cc02_g18580									
OG0037972	Cc02_g19030									
OG0037973	Cc02_g19050									
OG0037974	Cc02_g19140									
OG0037975	Cc02_g19390									
OG0037976	Cc02_g19600									
OG0037977	Cc02_g19650									
OG0037978	Cc02_g19670									
OG0037979	Cc02_g19740									
OG0037980	Cc02_g19780									
OG0037981	Cc02_g19930									
OG0037982	Cc02_g19940									
OG0037983	Cc02_g19970									
OG0037984	Cc02_g20040									
OG0037985	Cc02_g20100									
OG0037986	Cc02_g20140									
OG0037987	Cc02_g20200									
OG0037988	Cc02_g20310									
OG0037989	Cc02_g20540									
OG0037990	Cc02_g21060									
OG0037991	Cc02_g21080									
OG0037992	Cc02_g21090									
OG0037993	Cc02_g21190									
OG0037994	Cc02_g21210									
OG0037995	Cc02_g21260									
OG0037996	Cc02_g21410									
OG0037997	Cc02_g21440									
OG0037998	Cc02_g21480									
OG0037999	Cc02_g21740									
OG0038000	Cc02_g21880									
OG0038001	Cc02_g22020									
OG0038002	Cc02_g22050									
OG0038003	Cc02_g22130									
OG0038004	Cc02_g22210									
OG0038005	Cc02_g22600									
OG0038006	Cc02_g22870									
OG0038007	Cc02_g22930									
OG0038008	Cc02_g23150									
OG0038009	Cc02_g23280									
OG0038010	Cc02_g23530									
OG0038011	Cc02_g23710									
OG0038012	Cc02_g23750									
OG0038013	Cc02_g24010									
OG0038014	Cc02_g24140									
OG0038015	Cc02_g24270									
OG0038016	Cc02_g24380									
OG0038017	Cc02_g24520									
OG0038018	Cc02_g24940									
OG0038019	Cc02_g25050									
OG0038020	Cc02_g25240									
OG0038021	Cc02_g25270									
OG0038022	Cc02_g25280									
OG0038023	Cc02_g25450									
OG0038024	Cc02_g25460									
OG0038025	Cc02_g25520									
OG0038026	Cc02_g25660									
OG0038027	Cc02_g25920									
OG0038028	Cc02_g25940									
OG0038029	Cc02_g25950									
OG0038030	Cc02_g25960									
OG0038031	Cc02_g25970									
OG0038032	Cc02_g26060									
OG0038033	Cc02_g26150									
OG0038034	Cc02_g26230									
OG0038035	Cc02_g26480									
OG0038036	Cc02_g26540									
OG0038037	Cc02_g26560									
OG0038038	Cc02_g26600									
OG0038039	Cc02_g26610									
OG0038040	Cc02_g26630									
OG0038041	Cc02_g26680									
OG0038042	Cc02_g26800									
OG0038043	Cc02_g26890									
OG0038044	Cc02_g27060									
OG0038045	Cc02_g27170									
OG0038046	Cc02_g27220									
OG0038047	Cc02_g27540									
OG0038048	Cc02_g27570									
OG0038049	Cc02_g27770									
OG0038050	Cc02_g27780									
OG0038051	Cc02_g27860									
OG0038052	Cc02_g27870									
OG0038053	Cc02_g27880									
OG0038054	Cc02_g27900									
OG0038055	Cc02_g28040									
OG0038056	Cc02_g28090									
OG0038057	Cc02_g28110									
OG0038058	Cc02_g28200									
OG0038059	Cc02_g28220									
OG0038060	Cc02_g28230									
OG0038061	Cc02_g28280									
OG0038062	Cc02_g28470									
OG0038063	Cc02_g28920									
OG0038064	Cc02_g28970									
OG0038065	Cc02_g29070									
OG0038066	Cc02_g29170									
OG0038067	Cc02_g29200									
OG0038068	Cc02_g29520									
OG0038069	Cc02_g29540									
OG0038070	Cc02_g29560									
OG0038071	Cc02_g29770									
OG0038072	Cc02_g29790									
OG0038073	Cc02_g29820									
OG0038074	Cc02_g29980									
OG0038075	Cc02_g30010									
OG0038076	Cc02_g30080									
OG0038077	Cc02_g30280									
OG0038078	Cc02_g30430									
OG0038079	Cc02_g30500									
OG0038080	Cc02_g30520									
OG0038081	Cc02_g30530									
OG0038082	Cc02_g30620									
OG0038083	Cc02_g30630									
OG0038084	Cc02_g30670									
OG0038085	Cc02_g30760									
OG0038086	Cc02_g30830									
OG0038087	Cc02_g30930									
OG0038088	Cc02_g30980									
OG0038089	Cc02_g31020									
OG0038090	Cc02_g31150									
OG0038091	Cc02_g31190									
OG0038092	Cc02_g31200									
OG0038093	Cc02_g31490									
OG0038094	Cc02_g31530									
OG0038095	Cc02_g31550									
OG0038096	Cc02_g31710									
OG0038097	Cc02_g31970									
OG0038098	Cc02_g32060									
OG0038099	Cc02_g32150									
OG0038100	Cc02_g32170									
OG0038101	Cc02_g32180									
OG0038102	Cc02_g32200									
OG0038103	Cc02_g32220									
OG0038104	Cc02_g32410									
OG0038105	Cc02_g32460									
OG0038106	Cc02_g32500									
OG0038107	Cc02_g32530									
OG0038108	Cc02_g32620									
OG0038109	Cc02_g32900									
OG0038110	Cc02_g32930									
OG0038111	Cc02_g32940									
OG0038112	Cc02_g32960									
OG0038113	Cc02_g33060									
OG0038114	Cc02_g33150									
OG0038115	Cc02_g33160									
OG0038116	Cc02_g33330									
OG0038117	Cc02_g33410									
OG0038118	Cc02_g33460									
OG0038119	Cc02_g33550									
OG0038120	Cc02_g33560									
OG0038121	Cc02_g33660									
OG0038122	Cc02_g33670									
OG0038123	Cc02_g33680									
OG0038124	Cc02_g33960									
OG0038125	Cc02_g34010									
OG0038126	Cc02_g34130									
OG0038127	Cc02_g34230									
OG0038128	Cc02_g34290									
OG0038129	Cc02_g34620									
OG0038130	Cc02_g34670									
OG0038131	Cc02_g34700									
OG0038132	Cc02_g34710									
OG0038133	Cc02_g34810									
OG0038134	Cc02_g34880									
OG0038135	Cc02_g35320									
OG0038136	Cc02_g35330									
OG0038137	Cc02_g35370									
OG0038138	Cc02_g35380									
OG0038139	Cc02_g35420									
OG0038140	Cc02_g35430									
OG0038141	Cc02_g35590									
OG0038142	Cc02_g35610									
OG0038143	Cc02_g35650									
OG0038144	Cc02_g35660									
OG0038145	Cc02_g35670									
OG0038146	Cc02_g35730									
OG0038147	Cc02_g35900									
OG0038148	Cc02_g35930									
OG0038149	Cc02_g36120									
OG0038150	Cc02_g36130									
OG0038151	Cc02_g36140									
OG0038152	Cc02_g36150									
OG0038153	Cc02_g36210									
OG0038154	Cc02_g36240									
OG0038155	Cc02_g36610									
OG0038156	Cc02_g36920									
OG0038157	Cc02_g37290									
OG0038158	Cc02_g37340									
OG0038159	Cc02_g37420									
OG0038160	Cc02_g37440									
OG0038161	Cc02_g37480									
OG0038162	Cc02_g37500									
OG0038163	Cc02_g37640									
OG0038164	Cc02_g37740									
OG0038165	Cc02_g37760									
OG0038166	Cc02_g37990									
OG0038167	Cc02_g38010									
OG0038168	Cc02_g38310									
OG0038169	Cc02_g38340									
OG0038170	Cc02_g38350									
OG0038171	Cc02_g38360									
OG0038172	Cc02_g38480									
OG0038173	Cc02_g38510									
OG0038174	Cc02_g38580									
OG0038175	Cc02_g38600									
OG0038176	Cc02_g38770									
OG0038177	Cc02_g38900									
OG0038178	Cc02_g38960									
OG0038179	Cc02_g38970									
OG0038180	Cc02_g39000									
OG0038181	Cc02_g39200									
OG0038182	Cc02_g39480									
OG0038183	Cc02_g39490									
OG0038184	Cc02_g39510									
OG0038185	Cc02_g39590									
OG0038186	Cc02_g39750									
OG0038187	Cc02_g39770									
OG0038188	Cc03_g00050									
OG0038189	Cc03_g00100									
OG0038190	Cc03_g00170									
OG0038191	Cc03_g00280									
OG0038192	Cc03_g00320									
OG0038193	Cc03_g00490									
OG0038194	Cc03_g00530									
OG0038195	Cc03_g00610									
OG0038196	Cc03_g00690									
OG0038197	Cc03_g00780									
OG0038198	Cc03_g01080									
OG0038199	Cc03_g01160									
OG0038200	Cc03_g01270									
OG0038201	Cc03_g01360									
OG0038202	Cc03_g01470									
OG0038203	Cc03_g01710									
OG0038204	Cc03_g01840									
OG0038205	Cc03_g01890									
OG0038206	Cc03_g01910									
OG0038207	Cc03_g02220									
OG0038208	Cc03_g02240									
OG0038209	Cc03_g02300									
OG0038210	Cc03_g02460									
OG0038211	Cc03_g02650									
OG0038212	Cc03_g02860									
OG0038213	Cc03_g02870									
OG0038214	Cc03_g02880									
OG0038215	Cc03_g02900									
OG0038216	Cc03_g03150									
OG0038217	Cc03_g03190									
OG0038218	Cc03_g03970									
OG0038219	Cc03_g04000									
OG0038220	Cc03_g04060									
OG0038221	Cc03_g04420									
OG0038222	Cc03_g04540									
OG0038223	Cc03_g04550									
OG0038224	Cc03_g04620									
OG0038225	Cc03_g04900									
OG0038226	Cc03_g05040									
OG0038227	Cc03_g05860									
OG0038228	Cc03_g05880									
OG0038229	Cc03_g05890									
OG0038230	Cc03_g05920									
OG0038231	Cc03_g05930									
OG0038232	Cc03_g06060									
OG0038233	Cc03_g06130									
OG0038234	Cc03_g06150									
OG0038235	Cc03_g06160									
OG0038236	Cc03_g06180									
OG0038237	Cc03_g06350									
OG0038238	Cc03_g06570									
OG0038239	Cc03_g06730									
OG0038240	Cc03_g06740									
OG0038241	Cc03_g06820									
OG0038242	Cc03_g07490									
OG0038243	Cc03_g07540									
OG0038244	Cc03_g07550									
OG0038245	Cc03_g07650									
OG0038246	Cc03_g07660									
OG0038247	Cc03_g07670									
OG0038248	Cc03_g07900									
OG0038249	Cc03_g08010									
OG0038250	Cc03_g08150									
OG0038251	Cc03_g08200									
OG0038252	Cc03_g08240									
OG0038253	Cc03_g08250									
OG0038254	Cc03_g08280									
OG0038255	Cc03_g08350									
OG0038256	Cc03_g08360									
OG0038257	Cc03_g08390									
OG0038258	Cc03_g08420									
OG0038259	Cc03_g08500									
OG0038260	Cc03_g08530									
OG0038261	Cc03_g09030									
OG0038262	Cc03_g09100									
OG0038263	Cc03_g09130									
OG0038264	Cc03_g09150									
OG0038265	Cc03_g09170									
OG0038266	Cc03_g09350									
OG0038267	Cc03_g09540									
OG0038268	Cc03_g09710									
OG0038269	Cc03_g09740									
OG0038270	Cc03_g10110									
OG0038271	Cc03_g10500									
OG0038272	Cc03_g10540									
OG0038273	Cc03_g10800									
OG0038274	Cc03_g10860									
OG0038275	Cc03_g10970									
OG0038276	Cc03_g11030									
OG0038277	Cc03_g11170									
OG0038278	Cc03_g11240									
OG0038279	Cc03_g11250									
OG0038280	Cc03_g11380									
OG0038281	Cc03_g11420									
OG0038282	Cc03_g11430									
OG0038283	Cc03_g11450									
OG0038284	Cc03_g11530									
OG0038285	Cc03_g11550									
OG0038286	Cc03_g11580									
OG0038287	Cc03_g11650									
OG0038288	Cc03_g11670									
OG0038289	Cc03_g11700									
OG0038290	Cc03_g11780									
OG0038291	Cc03_g11810									
OG0038292	Cc03_g12240									
OG0038293	Cc03_g12350									
OG0038294	Cc03_g12370									
OG0038295	Cc03_g12510									
OG0038296	Cc03_g12530									
OG0038297	Cc03_g12620									
OG0038298	Cc03_g12740									
OG0038299	Cc03_g12810									
OG0038300	Cc03_g12850									
OG0038301	Cc03_g12900									
OG0038302	Cc03_g12960									
OG0038303	Cc03_g12980									
OG0038304	Cc03_g12990									
OG0038305	Cc03_g13050									
OG0038306	Cc03_g13060									
OG0038307	Cc03_g13080									
OG0038308	Cc03_g13580									
OG0038309	Cc03_g13810									
OG0038310	Cc03_g14000									
OG0038311	Cc03_g14150									
OG0038312	Cc03_g14300									
OG0038313	Cc03_g14400									
OG0038314	Cc03_g14590									
OG0038315	Cc03_g14810									
OG0038316	Cc03_g14840									
OG0038317	Cc03_g14890									
OG0038318	Cc03_g15020									
OG0038319	Cc03_g15030									
OG0038320	Cc03_g15390									
OG0038321	Cc03_g15510									
OG0038322	Cc03_g15680									
OG0038323	Cc03_g15920									
OG0038324	Cc04_g00100									
OG0038325	Cc04_g00140									
OG0038326	Cc04_g00220									
OG0038327	Cc04_g00240									
OG0038328	Cc04_g00270									
OG0038329	Cc04_g00610									
OG0038330	Cc04_g01070									
OG0038331	Cc04_g01180									
OG0038332	Cc04_g01190									
OG0038333	Cc04_g01250									
OG0038334	Cc04_g01340									
OG0038335	Cc04_g01430									
OG0038336	Cc04_g01510									
OG0038337	Cc04_g01600									
OG0038338	Cc04_g01790									
OG0038339	Cc04_g02200									
OG0038340	Cc04_g02240									
OG0038341	Cc04_g02400									
OG0038342	Cc04_g02810									
OG0038343	Cc04_g02980									
OG0038344	Cc04_g03010									
OG0038345	Cc04_g03360									
OG0038346	Cc04_g03470									
OG0038347	Cc04_g03520									
OG0038348	Cc04_g03780									
OG0038349	Cc04_g04040									
OG0038350	Cc04_g04080									
OG0038351	Cc04_g04280									
OG0038352	Cc04_g04310									
OG0038353	Cc04_g04570									
OG0038354	Cc04_g04700									
OG0038355	Cc04_g05240									
OG0038356	Cc04_g05270									
OG0038357	Cc04_g05630									
OG0038358	Cc04_g05940									
OG0038359	Cc04_g06180									
OG0038360	Cc04_g06220									
OG0038361	Cc04_g06410									
OG0038362	Cc04_g06450									
OG0038363	Cc04_g06560									
OG0038364	Cc04_g06580									
OG0038365	Cc04_g06650									
OG0038366	Cc04_g06680									
OG0038367	Cc04_g06690									
OG0038368	Cc04_g07150									
OG0038369	Cc04_g07450									
OG0038370	Cc04_g07530									
OG0038371	Cc04_g07630									
OG0038372	Cc04_g07740									
OG0038373	Cc04_g07950									
OG0038374	Cc04_g07980									
OG0038375	Cc04_g08220									
OG0038376	Cc04_g08490									
OG0038377	Cc04_g08510									
OG0038378	Cc04_g08650									
OG0038379	Cc04_g08680									
OG0038380	Cc04_g08970									
OG0038381	Cc04_g08980									
OG0038382	Cc04_g09160									
OG0038383	Cc04_g09540									
OG0038384	Cc04_g09650									
OG0038385	Cc04_g09900									
OG0038386	Cc04_g09920									
OG0038387	Cc04_g10100									
OG0038388	Cc04_g10120									
OG0038389	Cc04_g10410									
OG0038390	Cc04_g10520									
OG0038391	Cc04_g10680									
OG0038392	Cc04_g10830									
OG0038393	Cc04_g10840									
OG0038394	Cc04_g11090									
OG0038395	Cc04_g11290									
OG0038396	Cc04_g11440									
OG0038397	Cc04_g11520									
OG0038398	Cc04_g11750									
OG0038399	Cc04_g11820									
OG0038400	Cc04_g11840									
OG0038401	Cc04_g11910									
OG0038402	Cc04_g11940									
OG0038403	Cc04_g12000									
OG0038404	Cc04_g12010									
OG0038405	Cc04_g12240									
OG0038406	Cc04_g12260									
OG0038407	Cc04_g12390									
OG0038408	Cc04_g12520									
OG0038409	Cc04_g12990									
OG0038410	Cc04_g13110									
OG0038411	Cc04_g13180									
OG0038412	Cc04_g13240									
OG0038413	Cc04_g13520									
OG0038414	Cc04_g13650									
OG0038415	Cc04_g13780									
OG0038416	Cc04_g14070									
OG0038417	Cc04_g14110									
OG0038418	Cc04_g14170									
OG0038419	Cc04_g14310									
OG0038420	Cc04_g14380									
OG0038421	Cc04_g14410									
OG0038422	Cc04_g14630									
OG0038423	Cc04_g14770									
OG0038424	Cc04_g14890									
OG0038425	Cc04_g14930									
OG0038426	Cc04_g14960									
OG0038427	Cc04_g14970									
OG0038428	Cc04_g15040									
OG0038429	Cc04_g15050									
OG0038430	Cc04_g15210									
OG0038431	Cc04_g15360									
OG0038432	Cc04_g15370									
OG0038433	Cc04_g15490									
OG0038434	Cc04_g15700									
OG0038435	Cc04_g16100									
OG0038436	Cc04_g16180									
OG0038437	Cc04_g16280									
OG0038438	Cc04_g16360									
OG0038439	Cc04_g16670									
OG0038440	Cc04_g16780									
OG0038441	Cc04_g17130									
OG0038442	Cc04_g17170									
OG0038443	Cc04_g17230									
OG0038444	Cc04_g17270									
OG0038445	Cc05_g00110									
OG0038446	Cc05_g00330									
OG0038447	Cc05_g00420									
OG0038448	Cc05_g00440									
OG0038449	Cc05_g00450									
OG0038450	Cc05_g00500									
OG0038451	Cc05_g00580									
OG0038452	Cc05_g00660									
OG0038453	Cc05_g00670									
OG0038454	Cc05_g00730									
OG0038455	Cc05_g00940									
OG0038456	Cc05_g01090									
OG0038457	Cc05_g01110									
OG0038458	Cc05_g01140									
OG0038459	Cc05_g01180									
OG0038460	Cc05_g01300									
OG0038461	Cc05_g01490									
OG0038462	Cc05_g01570									
OG0038463	Cc05_g01830									
OG0038464	Cc05_g02130									
OG0038465	Cc05_g02140									
OG0038466	Cc05_g02190									
OG0038467	Cc05_g02200									
OG0038468	Cc05_g02380									
OG0038469	Cc05_g02450									
OG0038470	Cc05_g02560									
OG0038471	Cc05_g02630									
OG0038472	Cc05_g02650									
OG0038473	Cc05_g02760									
OG0038474	Cc05_g02800									
OG0038475	Cc05_g03000									
OG0038476	Cc05_g03030									
OG0038477	Cc05_g03050									
OG0038478	Cc05_g03080									
OG0038479	Cc05_g03180									
OG0038480	Cc05_g03320									
OG0038481	Cc05_g03350									
OG0038482	Cc05_g03360									
OG0038483	Cc05_g03390									
OG0038484	Cc05_g03520									
OG0038485	Cc05_g03600									
OG0038486	Cc05_g03710									
OG0038487	Cc05_g04230									
OG0038488	Cc05_g04250									
OG0038489	Cc05_g04270									
OG0038490	Cc05_g04340									
OG0038491	Cc05_g04380									
OG0038492	Cc05_g04660									
OG0038493	Cc05_g04730									
OG0038494	Cc05_g04810									
OG0038495	Cc05_g04900									
OG0038496	Cc05_g04950									
OG0038497	Cc05_g05000									
OG0038498	Cc05_g05010									
OG0038499	Cc05_g05020									
